,Keelung,Xizhi,Wanli,Xindian,Tucheng,Banqiao,Xinzhuang,Cailiao,Linkou,Dashui,Shilin, Zhongshan,Wanhua,Guting,Songshan,Datong,Taoyuan,Dayuan,Guanyin,Pingzhen,Longtan,Hukou,Zhudong ,Xinzhu,Toufen,Miaoli,Sanyi,Fengyuan,Shalu,Dali,Zhongming,Xitun,Changhua,Xianxi,Erlin,Nantou,Douliu,Lunbei,Xingang,Piaozi,Taixi,Chiayi,Xinying,Shanhua,Annan,Tainan,Meinong,Qiaotou,Renwu,Fengshan,Daliao,Lin Garden,Nanzi,Zuoying,Qianjin,Qianzhen ,Xiaogang,Pingtung,Chaozhou,Hengchun,Taitung,Hualian,Yangming,Yilan,Winter Mountain,Sanchong,Zhongli,Zhushan,Yonghe,Fuxing,Puli,Mazu,Jinmen,Magong,Guanshan,Mailiao,Fugui Jiao
2019-01-01,3.0,3.0,8.0,2.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,12.0,6.0,4.0,7.0,5.0,8.0,3.0,7.0,8.0,7.0,7.0,5.0,3.0,6.0,9.0,9.0,10.0,11.0,16.0,15.0,14.0,8.0,10.0,16.0,11.0,15.0,10.0,16.0,19.0,23.0,28.0,25.0,33.0,34.0,27.0,22.0,26.0,28.0,29.0,34.0,37.0,7.0,5.0,1.0,1.0,5.0,2.0,3.0,5.0,23.0,3.0,29.0,19.0,17.0,10.0,8.0,7.0,7.0,6.0
2019-01-02,4,3,7,2,6,6,3,3,3,4,4,8,4,3,4,7,5,6,11,3,4,5,7,8,5,10,7,6,6,6,6,6,9,8,11,11,13,15,12,10,8,14,12,16,11,14,27,29,40,35,44,41,42,33,36,41,40,37,43,6,4,2,2,4,2,4,4,20,4,41,19,24,15,9,6,7,7
2019-01-03,4,2,6,2,5,6,3,3,3,4,5,5,6,4,4,6,5,8,11,6,4,6,6,9,6,12,9,8,8,7,8,10,7,11,12,19,20,18,17,13,8,23,18,20,21,24,24,32,34,29,36,33,31,28,31,34,35,33,36,7,6,3,2,3,2,5,5,31,4,34,20,24,17,11,8,8,6
2019-01-04,12,13,13,12,20,17,12,13,9,11,12,15,14,20,15,15,14,9,20,15,15,18,18,23,18,25,20,28,28,23,32,30,30,32,28,38,36,36,30,28,23,33,38,31,24,26,24,44,35,32,43,37,41,28,32,39,38,38,34,8,7,2,9,6,6,13,14,48,15,36,29,12,16,17,7,25,12
2019-01-05,11,21,11,25,33,28,18,18,8,12,17,23,22,28,24,20,19,13,20,18,23,18,28,33,31,33,19,37,31,29,33,31,36,42,39,38,45,45,55,46,37,53,51,49,49,52,28,49,43,34,29,20,48,39,39,39,33,30,17,10,6,4,4,11,10,21,23,59,26,37,36,10,25,16,5,38,9
2019-01-06,5,4,8,4,8,0,4,7,3,4,5,9,6,6,6,8,5,6,11,7,4,9,9,11,7,12,7,0,7,8,7,9,9,9,11,14,15,18,17,18,8,22,20,26,24,26,31,37,42,37,44,42,42,36,40,42,41,48,42,8,5,3,1,9,5,7,7,27,5,40,16,11,19,9,7,9,9
2019-01-07,7,6,9,5,10,10,7,7,4,5,7,10,6,8,9,8,8,7,13,13,10,10,11,17,12,19,10,0,11,12,14,12,12,14,15,0,25,20,22,17,13,24,24,23,21,24,21,35,40,34,40,39,36,25,31,36,35,41,42,7,6,2,4,6,3,6,9,26,7,34,18,15,21,16,7,12,10
2019-01-08,5,3,7,4,14,13,8,10,6,9,8,12,10,7,6,12,11,7,13,11,10,8,0,13,9,14,7,11,8,10,12,10,12,14,14,21,23,21,23,20,14,29,26,31,28,30,27,40,42,41,43,46,41,28,43,46,46,39,39,5,7,2,2,5,3,8,8,29,10,43,17,9,22,12,0,13,9
2019-01-09,0,8,11,4,10,8,5,7,5,6,7,11,6,8,10,8,7,9,17,6,6,7,7,11,7,15,9,11,9,9,11,9,10,12,14,19,17,19,18,10,14,20,22,20,19,22,24,35,32,34,37,38,35,22,33,34,37,41,38,3,4,2,2,5,3,7,7,28,7,35,24,18,18,14,0,11,13
2019-01-10,7,6,8,17,26,23,16,18,13,12,13,17,15,22,9,15,18,13,23,19,23,21,25,31,24,28,19,27,20,21,26,24,24,25,25,30,31,37,42,40,23,43,51,42,45,44,41,50,47,58,50,48,51,32,49,53,50,53,51,3,6,3,7,4,5,15,15,40,20,48,24,13,26,19,7,24,12
2019-01-11,13,18,12,19,34,32,27,25,13,18,22,24,18,26,25,20,29,14,21,24,31,22,33,38,25,31,16,25,21,28,32,31,37,30,31,34,53,43,49,52,29,65,69,65,60,61,38,61,59,65,47,58,65,41,60,58,54,48,45,3,7,4,8,7,7,22,30,0,24,50,22,10,39,18,7,28,12
2019-01-12,11,16,13,14,22,20,15,16,10,13,14,15,16,18,15,16,20,11,24,16,20,16,22,27,21,25,16,16,20,16,25,24,27,24,24,21,40,37,39,37,26,46,42,39,48,47,24,45,46,52,43,45,55,43,41,46,43,47,39,4,7,5,3,9,7,17,20,39,17,41,20,11,25,16,7,22,9
2019-01-13,9,10,11,7,12,10,6,9,8,8,7,6,7,9,8,6,9,9,20,7,6,10,11,18,14,19,11,10,13,9,12,13,18,18,17,17,20,24,20,19,18,25,25,22,23,23,24,32,28,32,37,47,36,26,33,34,36,33,33,3,5,3,1,8,4,5,8,30,9,32,16,22,28,17,8,17,9
2019-01-14,13,13,14,11,14,13,11,13,11,11,14,16,11,13,15,13,13,12,23,10,13,11,11,18,15,18,11,17,14,13,14,13,13,17,17,19,23,23,20,20,22,23,22,26,21,23,24,33,30,41,42,49,37,25,38,35,35,41,37,3,6,4,10,11,8,14,14,27,11,35,18,35,31,29,6,22,13
2019-01-15,11,12,13,10,16,15,12,13,12,13,13,13,13,14,13,14,16,18,28,20,21,22,22,30,24,32,20,26,29,24,30,31,33,35,36,33,35,44,45,50,39,49,51,52,51,56,35,54,48,51,54,47,58,51,54,51,50,49,49,4,8,6,6,10,7,14,18,42,13,49,24,24,32,34,7,38,12
2019-01-16,8,7,10,6,9,10,4,5,5,6,4,7,4,9,9,7,6,9,17,9,6,9,7,14,12,14,5,8,10,7,11,8,14,12,12,14,14,20,17,19,12,23,21,25,24,28,33,40,37,43,44,42,43,32,42,40,38,42,45,3,5,5,1,7,5,5,9,19,7,39,19,32,18,10,6,12,10
