date,year,month,day,Day of the week,work,備轉容量(MW),備轉容量率(%),瞬時尖峰負載(MW),淨尖峰供電能力(MW)
2019/1/1,2019,1,1,2,FALSE,2557.3,10.71,23877.68,26434.98
2019/1/2,2019,1,2,3,TRUE,1899,6.75,28133.33,30032.33
2019/1/3,2019,1,3,4,TRUE,1891,6.65,28436.09,30327.09
2019/1/4,2019,1,4,5,TRUE,1811,6.36,28474.84,30285.84
2019/1/5,2019,1,5,6,FALSE,1903,7.3,26068.49,27971.49
2019/1/6,2019,1,6,7,FALSE,2333,9.48,24609.7,26942.7
2019/1/7,2019,1,7,1,TRUE,1800,6.31,28526.15,30326.15
2019/1/8,2019,1,8,2,TRUE,1843,6.42,28707.17,30550.17
2019/1/9,2019,1,9,3,TRUE,1954,6.82,28651.03,30605.03
2019/1/10,2019,1,10,4,TRUE,1847,6.37,28995.29,30842.29
2019/1/11,2019,1,11,5,TRUE,1884,6.54,28807.34,30691.34
2019/1/12,2019,1,12,6,FALSE,2497,9.64,25902.49,28399.49
2019/1/13,2019,1,13,7,FALSE,2398,9.74,24620.12,27018.12
2019/1/14,2019,1,14,1,TRUE,1745,6.16,28327.92,30072.92
2019/1/15,2019,1,15,2,TRUE,1844,6.38,28902.82,30746.82
2019/1/16,2019,1,16,3,TRUE,1849,6.45,28666.67,30515.67
2019/1/17,2019,1,17,4,TRUE,1933,6.81,28384.73,30317.73
2019/1/18,2019,1,18,5,TRUE,1935,6.97,27761.84,29696.84
2019/1/19,2019,1,19,6,TRUE,1954,7.38,26476.96,28430.96
2019/1/20,2019,1,20,7,FALSE,2599,10.59,24542.02,27141.02
2019/1/21,2019,1,21,1,TRUE,1915,6.9,27753.62,29668.62
2019/1/22,2019,1,22,2,TRUE,1921,6.83,28125.92,30046.92
2019/1/23,2019,1,23,3,TRUE,1938,6.96,27844.83,29782.83
2019/1/24,2019,1,24,4,TRUE,1872,6.72,27857.14,29729.14
2019/1/25,2019,1,25,5,TRUE,1906,6.98,27306.59,29212.59
2019/1/26,2019,1,26,6,FALSE,2535,10.03,25274.18,27809.18
