SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,1,二氧化硫,SO2,ppb,2019-12-10,2.5
1,基隆,2,一氧化碳,CO,ppm,2019-12-10,.5
1,基隆,3,臭氧,O3,ppb,2019-12-10,15.2
1,基隆,4,懸浮微粒,PM10,μg/m3,2019-12-10,28
1,基隆,5,氮氧化物,NOx,ppb,2019-12-10,30.09
1,基隆,6,一氧化氮,NO,ppb,2019-12-10,9.31
1,基隆,7,二氧化氮,NO2,ppb,2019-12-10,20.77
1,基隆,8,總碳氫化合物,THC,ppm,2019-12-10,2.073
1,基隆,9,非甲烷碳氫化合物,NMHC,ppm,2019-12-10,.177
1,基隆,10,風速,WIND_SPEED,m/sec,2019-12-10,.73
1,基隆,14,溫度,AMB_TEMP,℃,2019-12-10,19.33
1,基隆,31,甲烷,CH4,ppm,2019-12-10,1.896
1,基隆,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,17
1,基隆,38,相對濕度,RH,percent,2019-12-10,89.48
1,基隆,143,小時風速值,WS_HR,m/sec,2019-12-10,.52
2,汐止,1,二氧化硫,SO2,ppb,2019-12-10,3.6
2,汐止,2,一氧化碳,CO,ppm,2019-12-10,.7
2,汐止,3,臭氧,O3,ppb,2019-12-10,16
2,汐止,4,懸浮微粒,PM10,μg/m3,2019-12-10,39
2,汐止,5,氮氧化物,NOx,ppb,2019-12-10,49.99
2,汐止,6,一氧化氮,NO,ppb,2019-12-10,19.36
2,汐止,7,二氧化氮,NO2,ppb,2019-12-10,30.63
2,汐止,10,風速,WIND_SPEED,m/sec,2019-12-10,1.15
2,汐止,14,溫度,AMB_TEMP,℃,2019-12-10,19.99
2,汐止,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,22
2,汐止,38,相對濕度,RH,percent,2019-12-10,74.07
2,汐止,143,小時風速值,WS_HR,m/sec,2019-12-10,.82
3,萬里,1,二氧化硫,SO2,ppb,2019-12-10,3.6
3,萬里,2,一氧化碳,CO,ppm,2019-12-10,.27
3,萬里,3,臭氧,O3,ppb,2019-12-10,27.8
3,萬里,4,懸浮微粒,PM10,μg/m3,2019-12-10,32
3,萬里,5,氮氧化物,NOx,ppb,2019-12-10,10.34
3,萬里,6,一氧化氮,NO,ppb,2019-12-10,1.96
3,萬里,7,二氧化氮,NO2,ppb,2019-12-10,8.39
3,萬里,10,風速,WIND_SPEED,m/sec,2019-12-10,2.42
3,萬里,14,溫度,AMB_TEMP,℃,2019-12-10,19.84
3,萬里,21,酸雨,PH_RAIN,pH,2019-12-10,4.4
3,萬里,22,導電度,RAIN_COND,μmho/cm,2019-12-10,70
3,萬里,32,降雨強度,RAIN_INT,㎜,2019-12-10,3.5
3,萬里,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,17
3,萬里,38,相對濕度,RH,percent,2019-12-10,81.06
3,萬里,143,小時風速值,WS_HR,m/sec,2019-12-10,2.07
4,新店,1,二氧化硫,SO2,ppb,2019-12-10,2.3
4,新店,2,一氧化碳,CO,ppm,2019-12-10,.51
4,新店,3,臭氧,O3,ppb,2019-12-10,24.9
4,新店,4,懸浮微粒,PM10,μg/m3,2019-12-10,29
4,新店,5,氮氧化物,NOx,ppb,2019-12-10,25.07
4,新店,6,一氧化氮,NO,ppb,2019-12-10,4.22
4,新店,7,二氧化氮,NO2,ppb,2019-12-10,20.84
4,新店,10,風速,WIND_SPEED,m/sec,2019-12-10,1.18
4,新店,14,溫度,AMB_TEMP,℃,2019-12-10,19.65
4,新店,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,18
4,新店,38,相對濕度,RH,percent,2019-12-10,69.66
4,新店,143,小時風速值,WS_HR,m/sec,2019-12-10,.98
5,土城,1,二氧化硫,SO2,ppb,2019-12-10,4
5,土城,2,一氧化碳,CO,ppm,2019-12-10,.62
5,土城,3,臭氧,O3,ppb,2019-12-10,21.8
5,土城,4,懸浮微粒,PM10,μg/m3,2019-12-10,41
5,土城,5,氮氧化物,NOx,ppb,2019-12-10,44.03
5,土城,6,一氧化氮,NO,ppb,2019-12-10,15.36
5,土城,7,二氧化氮,NO2,ppb,2019-12-10,28.68
5,土城,8,總碳氫化合物,THC,ppm,2019-12-10,2.173
5,土城,9,非甲烷碳氫化合物,NMHC,ppm,2019-12-10,.309
5,土城,10,風速,WIND_SPEED,m/sec,2019-12-10,1.07
5,土城,14,溫度,AMB_TEMP,℃,2019-12-10,19.43
5,土城,31,甲烷,CH4,ppm,2019-12-10,1.864
5,土城,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,21
5,土城,38,相對濕度,RH,percent,2019-12-10,70.21
5,土城,143,小時風速值,WS_HR,m/sec,2019-12-10,.71
6,板橋,1,二氧化硫,SO2,ppb,2019-12-10,4.3
6,板橋,2,一氧化碳,CO,ppm,2019-12-10,.59
6,板橋,3,臭氧,O3,ppb,2019-12-10,23.2
6,板橋,4,懸浮微粒,PM10,μg/m3,2019-12-10,38
6,板橋,5,氮氧化物,NOx,ppb,2019-12-10,34.9
6,板橋,6,一氧化氮,NO,ppb,2019-12-10,7.29
6,板橋,7,二氧化氮,NO2,ppb,2019-12-10,27.62
6,板橋,8,總碳氫化合物,THC,ppm,2019-12-10,2.315
6,板橋,9,非甲烷碳氫化合物,NMHC,ppm,2019-12-10,.339
6,板橋,10,風速,WIND_SPEED,m/sec,2019-12-10,1.64
6,板橋,14,溫度,AMB_TEMP,℃,2019-12-10,19.75
6,板橋,21,酸雨,PH_RAIN,pH,2019-12-10,0
6,板橋,22,導電度,RAIN_COND,μmho/cm,2019-12-10,0
6,板橋,31,甲烷,CH4,ppm,2019-12-10,1.975
6,板橋,32,降雨強度,RAIN_INT,㎜,2019-12-10,0
6,板橋,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,20
6,板橋,38,相對濕度,RH,percent,2019-12-10,65.02
6,板橋,143,小時風速值,WS_HR,m/sec,2019-12-10,1.38
7,新莊,1,二氧化硫,SO2,ppb,2019-12-10,4.9
7,新莊,2,一氧化碳,CO,ppm,2019-12-10,.57
7,新莊,3,臭氧,O3,ppb,2019-12-10,25.7
7,新莊,4,懸浮微粒,PM10,μg/m3,2019-12-10,40
7,新莊,5,氮氧化物,NOx,ppb,2019-12-10,36.8
7,新莊,6,一氧化氮,NO,ppb,2019-12-10,10.41
7,新莊,7,二氧化氮,NO2,ppb,2019-12-10,26.39
7,新莊,10,風速,WIND_SPEED,m/sec,2019-12-10,1.75
7,新莊,14,溫度,AMB_TEMP,℃,2019-12-10,19.79
7,新莊,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,21
7,新莊,38,相對濕度,RH,percent,2019-12-10,70.43
7,新莊,143,小時風速值,WS_HR,m/sec,2019-12-10,1.3
8,菜寮,1,二氧化硫,SO2,ppb,2019-12-10,3.8
8,菜寮,2,一氧化碳,CO,ppm,2019-12-10,.62
8,菜寮,3,臭氧,O3,ppb,2019-12-10,21.5
8,菜寮,4,懸浮微粒,PM10,μg/m3,2019-12-10,36
8,菜寮,5,氮氧化物,NOx,ppb,2019-12-10,36
8,菜寮,6,一氧化氮,NO,ppb,2019-12-10,9.68
8,菜寮,7,二氧化氮,NO2,ppb,2019-12-10,26.32
8,菜寮,10,風速,WIND_SPEED,m/sec,2019-12-10,1.55
8,菜寮,14,溫度,AMB_TEMP,℃,2019-12-10,20.19
8,菜寮,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,20
8,菜寮,38,相對濕度,RH,percent,2019-12-10,69.1
8,菜寮,143,小時風速值,WS_HR,m/sec,2019-12-10,1.35
9,林口,1,二氧化硫,SO2,ppb,2019-12-10,2.7
9,林口,2,一氧化碳,CO,ppm,2019-12-10,.3
9,林口,3,臭氧,O3,ppb,2019-12-10,40.6
9,林口,4,懸浮微粒,PM10,μg/m3,2019-12-10,30
9,林口,5,氮氧化物,NOx,ppb,2019-12-10,18.45
9,林口,6,一氧化氮,NO,ppb,2019-12-10,6.61
9,林口,7,二氧化氮,NO2,ppb,2019-12-10,11.84
9,林口,10,風速,WIND_SPEED,m/sec,2019-12-10,1.57
9,林口,14,溫度,AMB_TEMP,℃,2019-12-10,18.5
9,林口,33,細懸浮微粒,PM2.5,μg/m3,2019-12-10,17
9,林口,38,相對濕度,RH,percent,2019-12-10,78.48
9,林口,143,小時風速值,WS_HR,m/sec,2019-12-10,1.43
10,淡水,1,二氧化硫,SO2,ppb,2019-12-10,3.5
10,淡水,2,一氧化碳,CO,ppm,2019-12-10,.44
10,淡水,3,臭氧,O3,ppb,2019-12-10,32.2
10,淡水,4,懸浮微粒,PM10,μg/m3,2019-12-10,28
10,淡水,5,氮氧化物,NOx,ppb,2019-12-10,19.27
10,淡水,6,一氧化氮,NO,ppb,2019-12-10,4.1
10,淡水,7,二氧化氮,NO2,ppb,2019-12-10,15.16
