,Keelung,Xizhi,Wanli,Xindian,Tucheng,Banqiao,Xinzhuang,Cailiao,Linkou,Dashui,Shilin, Zhongshan,Wanhua,Guting,Songshan,Datong,Taoyuan,Dayuan,Guanyin,Pingzhen,Longtan,Hukou,Zhudong ,Xinzhu,Toufen,Miaoli,Sanyi,Fengyuan,Shalu,Dali,Zhongming,Xitun,Changhua,Xianxi,Erlin,Nantou,Douliu,Lunbei,Xingang,Piaozi,Taixi,Chiayi,Xinying,Shanhua,Annan,Tainan,Meinong,Qiaotou,Renwu,Fengshan,Daliao,Lin Garden,Nanzi,Zuoying,Qianjin,Qianzhen ,Xiaogang,Pingtung,Chaozhou,Hengchun,Taitung,Hualian,Yangming,Yilan,Winter Mountain,Sanchong,Zhongli,Zhushan,Yonghe,Fuxing,Puli,Mazu,Jinmen,Magong,Guanshan,Mailiao,Fugui Jiao
2019-01-01,0.023,0,0,0,0.068,0.069,0,0,0,0,0,0.07200000000000001,0,0.048,0.041,0.129,0.055,0,0,0,0,0,0,0.052000000000000005,0.043,0,0,0.057,0,0.138,0.069,0.059,0.093,0.026,0,0.261,0,0,0,0,0.0,0.128,0.066,0,0.063,0.08900000000000001,0,0,0.175,0.276,0,0.14,0.141,0.146,0.131,0.173,0.228,0.122,0,0,0,0,0,0,0,0.203,0.117,0,0.075,0.248,0,0,0,0,0,0.026,0.005
2019-01-02,.033,0,0,0,.129,.108,0,0,0,0,0,.122,0,.079,.081,.239,.098,0,0,0,0,0,0,.091,.086,0,0,.177,0,.207,.138,.12,.152,.059,0,.267,0,0,0,0,.005,.186,.095,0,.114,.153,0,0,.331,.359,0,.206,.199,.255,.245,.306,.338,.151,0,0,0,0,0,0,0,.262,.191,0,.11,.396,0,0,0,0,0,.039,.012
2019-01-03,.036,0,0,0,.141,.12,0,0,0,0,0,.134,0,.092,.099,.274,.113,0,0,0,0,0,0,.13,.118,0,0,.238,0,.252,.169,.144,.172,.064,0,.253,0,0,0,0,.015,.202,.098,0,.108,.146,0,0,.282,.378,.293,.166,.203,.225,.218,.282,.349,.199,0,0,0,0,0,0,0,.302,.23,0,.117,.362,0,0,0,0,0,.04,.026
2019-01-04,.23,0,0,0,.226,.216,0,0,0,0,0,.233,0,.215,.198,.4,.142,0,0,0,0,0,0,.223,.166,0,0,.46,0,.337,.278,.313,.24,.163,0,.251,0,0,0,0,.059,.187,.141,0,.169,.224,0,0,.354,.402,.355,.18,.223,.239,.219,.314,.374,.161,0,0,0,0,0,0,0,.514,.455,0,.308,.415,0,0,0,0,0,.104,.024
2019-01-05,.122,0,0,0,.246,.219,0,0,0,0,0,.206,0,.223,.189,.299,.192,0,0,0,0,0,0,.201,.182,0,0,.304,0,.313,.234,.212,.223,.125,0,.294,0,0,0,0,.055,.249,.149,0,.184,.259,0,0,.382,.349,.19,.109,.237,.258,.288,.443,.22,.139,0,0,0,0,0,0,0,.395,.267,0,.334,.525,0,0,0,0,0,.08,.046
2019-01-06,.064,0,0,0,.132,0,0,0,0,0,0,.157,0,.112,.114,.257,.105,0,0,0,0,0,0,.111,.097,0,0,.114,0,.133,.106,.11,.13,.062,0,.171,0,0,0,0,.039,.155,.097,0,.113,.137,0,0,.207,.253,.202,.175,.152,.174,.164,.213,.276,.136,0,0,0,0,0,0,0,.357,.158,0,.174,.279,0,0,0,0,0,.068,.032
2019-01-07,.169,0,0,0,.254,.306,0,0,0,0,0,.196,0,.155,.167,.344,.223,0,0,0,0,0,0,.164,.128,0,0,.211,0,.209,.133,.115,.135,.036,0,.22,0,0,0,0,.008,.169,.083,0,.117,.153,0,0,.245,.284,.278,.158,.18,.183,.184,.258,.278,.186,0,0,0,0,0,0,0,.407,.5,0,.217,.347,0,0,0,0,0,.033,.01
2019-01-08,.101,0,0,0,.188,.287,0,0,0,0,0,.242,0,.163,.187,.448,.151,0,0,0,0,0,0,.099,.079,0,0,.112,0,.146,.1,.088,.108,.036,0,.2,0,0,0,0,.012,.162,.087,0,.106,.13,0,0,.21,.284,.233,.296,.163,.163,.172,.227,.295,.173,0,0,0,0,0,0,0,.48,.257,0,.256,.318,0,0,0,0,0,.042,.027
2019-01-09,.064,0,0,0,.129,.12,0,0,0,0,0,.126,0,.11,.101,.18,.104,0,0,0,0,0,0,.15,.127,0,0,.167,0,.24,.146,.135,.149,.058,0,.215,0,0,0,0,.015,.18,.091,0,.116,.146,0,0,.23,.279,.295,.258,.199,.209,.197,.233,.28,.188,0,0,0,0,0,0,0,.296,.264,0,.129,.32,0,0,0,0,0,.04,.02
2019-01-10,.225,0,0,0,.305,.347,0,0,0,0,0,.369,0,.38,.193,.607,.172,0,0,0,0,0,0,.216,.146,0,0,.232,0,.318,.181,.17,.161,.037,0,.3,0,0,0,0,.03,.225,.115,0,.172,.201,0,0,.313,.388,.338,.134,.232,.26,.225,.373,.369,.193,0,0,0,0,0,0,0,.603,.341,0,.539,.484,0,0,0,0,0,.045,.019
