,Keelung,Xizhi,Wanli,Xindian,Tucheng,Banqiao,Xinzhuang,Cailiao,Linkou,Dashui,Shilin, Zhongshan,Wanhua,Guting,Songshan,Datong,Taoyuan,Dayuan,Guanyin,Pingzhen,Longtan,Hukou,Zhudong ,Xinzhu,Toufen,Miaoli,Sanyi,Fengyuan,Shalu,Dali,Zhongming,Xitun,Changhua,Xianxi,Erlin,Nantou,Douliu,Lunbei,Xingang,Piaozi,Taixi,Chiayi,Xinying,Shanhua,Annan,Tainan,Meinong,Qiaotou,Renwu,Fengshan,Daliao,Lin Garden,Nanzi,Zuoying,Qianjin,Qianzhen ,Xiaogang,Pingtung,Chaozhou,Hengchun,Taitung,Hualian,Yangming,Yilan,Winter Mountain,Sanchong,Zhongli,Zhushan,Yonghe,Fuxing,Puli,Mazu,Jinmen,Magong,Guanshan,Mailiao,Fugui Jiao
2019-01-01,10.0,5.0,28.0,5.0,6.0,7.0,8.0,6.0,7.0,5.0,5.0,9.0,8.0,10.0,9.0,11.0,6.0,9.0,14.0,7.0,8.0,10.0,6.0,10.0,6.0,9.0,10.0,9.0,17.0,16.0,7.0,17.0,21.0,23.0,41.0,26.0,35.0,37.0,38.0,51.0,35.0,36.0,41.0,49.0,50.0,52.0,54.0,54.0,52.0,62.0,59.0,72.0,55.0,54.0,55.0,62.0,61.0,64.0,75.0,8.0,13.0,10.0,5.0,8.0,6.0,24.0,7.0,42.0,9.0,66.0,40.0,28.0,27.0,19.0,12.0,49.0,26.0
2019-01-02,12,7,28,5,7,8,7,8,11,5,5,12,10,11,10,14,5,12,15,8,8,10,9,11,8,11,10,17,15,17,13,22,20,21,42,29,32,28,36,43,27,37,38,47,42,44,63,59,63,73,72,84,61,61,65,76,72,74,88,5,5,13,5,7,5,22,9,37,9,79,41,39,26,21,6,30,30
2019-01-03,11,6,0,5,6,7,8,6,10,5,6,11,10,10,10,11,7,11,16,9,6,9,10,11,11,15,10,17,18,21,16,27,23,22,40,37,36,31,37,47,25,43,39,52,48,49,56,56,57,62,62,74,54,52,57,64,64,65,68,6,11,13,5,8,6,30,10,49,7,69,37,41,28,19,8,33,24
2019-01-04,33,33,45,21,27,30,22,24,17,31,24,35,30,35,35,33,31,28,30,30,31,31,33,37,39,44,42,55,52,59,54,64,55,56,80,71,73,71,76,80,55,75,66,74,67,66,61,77,67,72,77,86,66,63,65,77,71,73,80,9,16,20,17,21,19,48,36,86,31,76,63,21,34,29,11,66,32
2019-01-05,32,34,38,0,47,41,24,31,22,17,36,43,37,44,49,35,44,30,30,41,49,39,44,47,57,57,29,62,54,61,49,60,53,62,97,70,73,84,92,90,64,88,81,91,86,89,64,83,72,68,57,60,81,70,67,76,63,67,50,19,17,25,9,28,34,54,47,93,44,79,73,18,39,23,12,76,29
2019-01-06,14,11,32,6,10,0,11,14,13,6,11,18,14,15,18,16,13,16,16,12,11,14,10,15,14,15,9,10,12,13,12,20,16,16,39,27,33,34,41,55,28,39,45,59,58,60,66,66,64,70,71,91,65,65,70,79,71,75,85,7,8,17,5,18,11,29,13,44,12,79,37,22,32,19,8,34,36
2019-01-07,23,16,33,10,19,19,16,16,18,9,14,22,17,22,24,25,23,26,29,29,31,27,34,33,37,38,20,37,28,36,28,36,0,40,61,48,51,48,56,61,38,56,57,68,66,62,64,70,67,70,81,95,65,62,67,77,72,84,91,5,10,21,6,15,10,35,30,57,16,82,40,26,40,32,10,59,37
2019-01-08,11,9,32,7,23,25,22,20,19,15,18,26,16,22,20,25,27,22,20,23,20,21,23,26,30,30,13,21,23,24,21,31,0,38,61,44,49,51,60,71,34,58,62,79,74,72,73,82,78,83,82,101,76,77,84,91,85,86,85,0,11,15,5,14,14,31,27,55,20,94,40,20,42,19,0,63,28
2019-01-09,21,12,37,7,15,15,18,15,17,8,13,20,17,21,24,18,19,20,25,13,14,16,13,18,15,28,22,31,21,31,24,33,27,37,59,44,46,41,50,52,35,52,54,63,66,64,71,72,72,78,81,98,71,69,75,80,82,86,87,7,11,15,5,10,6,27,15,59,18,84,52,33,32,28,0,61,37
2019-01-10,19,10,30,32,45,48,41,35,25,32,35,45,40,47,27,44,39,45,50,45,54,49,48,57,59,62,32,56,48,59,46,55,57,61,87,66,79,78,94,88,49,88,89,98,101,93,94,93,88,95,99,112,87,88,93,104,97,109,119,6,10,17,9,12,18,49,43,87,40,105,56,25,47,28,12,65,50
