,Keelung,Xizhi,Wanli,Xindian,Tucheng,Banqiao,Xinzhuang,Cailiao,Linkou,Dashui,Shilin, Zhongshan,Wanhua,Guting,Songshan,Datong,Taoyuan,Dayuan,Guanyin,Pingzhen,Longtan,Hukou,Zhudong ,Xinzhu,Toufen,Miaoli,Sanyi,Fengyuan,Shalu,Dali,Zhongming,Xitun,Changhua,Xianxi,Erlin,Nantou,Douliu,Lunbei,Xingang,Piaozi,Taixi,Chiayi,Xinying,Shanhua,Annan,Tainan,Meinong,Qiaotou,Renwu,Fengshan,Daliao,Lin Garden,Nanzi,Zuoying,Qianjin,Qianzhen ,Xiaogang,Pingtung,Chaozhou,Hengchun,Taitung,Hualian,Yangming,Yilan,Winter Mountain,Sanchong,Zhongli,Zhushan,Yonghe,Fuxing,Puli,Mazu,Jinmen,Magong,Guanshan,Mailiao,Fugui Jiao
2019-01-01,93.15,95.18,91.65,0,85.67,84.26,77.47,80.8,89.25,85.75,77.7,93.57,85.15,91.58,90.48,0,87.67,88.23,89.86,85.27,89.89,79.03,75.86,76.52,67.55,74.85,88.14,76.44,78.73,73.89,71.38,73.7,72.33,80.29,81.1,75.42,76.55,86.69,78.87,82.85,83.43,77.04,77.23,76.46,77.68,78.6,76.6,75.21,76.65,71.43,78.47,75.6,77.67,76.47,75.6,70.9,68.38,75.15,79.98,77.26,75.02,81.14,99.5,93.98,95.26,81.66,83.17,81.2,88.73,74.18,74.5,80.94,67.27,75.85,83.35,81.67,89.56
2019-01-02,93.14,95.11,90.59,0,84.96,84.63,79.7,84.42,93.36,91.88,80.53,95.33,86.08,90.68,90.21,0,89.36,88.18,91.46,87.48,89.95,80.33,79.12,79.1,71.44,79.67,92.3,78.89,79.58,75.57,73.91,76.2,73.32,81.36,83.25,77.66,79.12,87.7,80.57,84.78,84.5,79.58,79.2,78.58,80.62,81.21,84.7,81.95,83.04,79.43,86.34,81.1,84.6,83.38,81.82,76.66,74.88,82.78,84.9,86.43,86.95,87.54,99.5,94.77,95.61,85.42,85.53,84.2,88.16,79.58,81.31,84.98,73.1,79.03,91.54,83.12,89.14
2019-01-03,94.96,95.7,93.75,0,86.07,86.13,80.94,86.03,94.84,94.17,83.53,95.88,86.98,91.3,91.2,0,90.13,92.64,95.89,88.93,91.55,83.72,84.95,82.31,75.96,88.27,97.63,86.93,86.42,83.95,83.32,85.51,80.03,88.01,87.85,84.02,83.56,87.7,84.24,88.55,84.6,83.27,81.48,80.28,82.39,82.4,80.33,78.7,81.06,76.68,82.25,77.67,81.71,83.38,81.14,76.16,77.57,78.5,80.21,83.35,79.48,86.67,99.5,94.87,95.63,86.69,86.99,89.2,88.78,78.79,81.18,90.13,86.93,84,87.88,87.86,92.65
2019-01-04,86.94,85.08,88.53,77.98,79.62,79.68,73.68,79.68,90.32,88.17,79.57,86.35,80.5,81.58,83.08,0,88.35,88.74,94.91,90.56,91.46,86.56,89.39,88.3,82.78,91.76,92.02,0,86.03,82.91,82.7,84.27,79.1,89.31,90.85,79.98,80.92,87.7,84.63,89.56,84.6,82.15,82.24,81.85,84.35,83.94,79.42,81.89,83.04,78.33,84.65,80.27,84.06,84.03,82.98,78.15,82.35,79.1,80.48,86.32,79.96,84.49,95.98,89.41,88.85,78.68,87.15,85.06,80.88,80.07,78.7,93.21,82.19,86.53,83.99,88.69,91.24
2019-01-05,94.32,90.24,94.19,84.83,83.41,83.45,78.49,85.49,99.44,96.79,88.31,91.84,84.78,86.3,86.55,0,91.83,95.43,97.13,94.75,95.91,86.51,91.22,88.15,81.59,93.23,98.03,0,84.45,76.76,76.1,79.84,76.73,86.89,87.5,72.82,77.11,84.8,83.12,87.31,84.6,76.84,76.95,76.89,79.69,79.03,74.51,76.64,78.72,0,83.7,79.16,78.83,80.03,78.55,75.08,78.78,76.82,81.23,85.63,86.13,83.7,94.88,84.11,85.56,84.53,91.34,80.21,85.76,77.34,76.59,95.7,92.34,85.77,91.53,89.25,94.28
2019-01-06,95.11,94.49,91.25,85.23,84.77,82.43,79.61,85.87,96.32,94.21,84.48,93.24,85.78,89.62,89.68,0,89.91,92.12,95.05,91.38,93.05,84.23,87.63,85.64,78.92,88.95,98.04,86.35,83.35,78.15,79.67,81.31,75.3,84.4,85.09,77.35,77.91,87.7,80.43,84.88,84.6,78.1,77.85,77.45,79.95,80.22,76.38,76.76,79.64,0,81.57,76.53,80.01,81.36,80.23,75.2,76.14,76.89,80.03,86.28,85.4,82.51,99.5,86.67,90.33,85.34,89.38,84.2,88.42,77.38,76.79,85.38,81.89,82.93,88.26,86.06,89.04
2019-01-07,91.8,88.79,89.6,77.16,77.97,78.13,72.13,76.56,85.73,83.88,76.99,85.8,78.83,82.59,83.81,0,83.04,80.24,89.39,83.25,85.54,78.53,83.7,80.73,77.88,86.42,98.07,85.78,82.43,77.42,77.56,80.38,74.65,85.38,85.53,76.27,77.52,87.7,81.27,86.52,84.6,77.56,78.13,77.96,80.21,80.85,76.62,77.15,79.7,0,81.95,79.51,79.92,81.65,79.46,75.87,75.1,77.09,80.31,83.56,79.09,81.15,99.27,90.93,91.13,76.93,80.3,82.11,82.15,77.65,75.05,89.9,76.44,84.01,81.76,85.96,86.77
2019-01-08,95.41,92.95,92.77,82.64,81.03,81.23,74.85,79.08,94.43,89.83,79.68,87.74,81.78,85.14,85.6,0,87.29,91.8,93.68,90.83,91.78,84.13,85.98,84.42,77.1,88.38,97.71,85.76,84.93,77.96,80.43,82.9,78.31,86.18,87.39,77.67,78.2,87.7,82.05,87.92,84.6,79.04,78.86,77.49,80.97,81.38,75.73,77.85,82.02,77.7,83.28,80.13,81.16,84.12,81.73,77.59,81.05,77.87,82.2,92.44,81.54,81.56,99.02,87.31,90.55,79.33,87.5,81.77,85.1,79.18,72.63,92.05,78.93,84.88,0,88.92,90.44
2019-01-09,0,0,0,0,76.18,78.2,72.25,76.98,85.83,79.58,76.92,87.03,80.11,83.77,85.67,0,82.35,78.53,86.4,80.43,84.19,74.43,76.66,73.75,66.55,78.1,98.06,80.8,78.99,74.31,74.01,76.45,73.05,80.21,82.67,75.48,76.52,86.62,79.44,84.14,84.6,76.58,77.03,76.21,77.85,78.63,74.93,74.75,77.42,72.73,80.12,77.63,77.64,0,78.85,74.19,73.67,76.6,80.73,81.35,76.7,80.7,99.5,91.44,93.9,77.26,78.53,80.98,84.2,76.49,74.43,88.18,72.89,80.9,0,83.76,86.64
2019-01-10,89.09,82.5,89.66,76.14,76.74,76.29,67.01,76.22,89.9,89.33,79.51,82.26,76.4,76.97,79.76,0,86.74,91.92,96.9,90.4,88.89,86.54,86.48,86.66,80.82,91.2,98.08,84.66,87.01,77.57,78.28,81.53,78.79,91.45,91.35,75.23,78.98,91.06,86.03,90.44,84.6,80.16,80.72,79.47,83.26,82.97,76.28,78.16,79.86,73.98,80.29,78.33,80.34,0,79.85,74.77,73.4,75.96,78.14,87.98,77.23,77.71,97.99,83.68,86.83,76.39,86.58,82.79,77.9,76.62,72.01,92.04,80.77,87.04,78.95,91.22,90.19
