y,m,d,w,MW,%,PPMWC,PMWC,PPMW,PMW
19,1,2,3,1899,6.75,30032.33333,28133.33333,30047,28148
19,1,3,4,1891,6.65,30327.09023,28436.09023,30343,28452
19,1,4,5,1811,6.36,30285.84277,28474.84277,30301,28490
19,1,5,6,1903,7.3,27971.49315,26068.49315,27957,26054
19,1,6,7,2333,9.48,26942.70464,24609.70464,26950,24617
19,1,7,1,1800,6.31,30326.14897,28526.14897,30336,28536
19,1,8,2,1843,6.42,30550.16511,28707.16511,30562,28719
19,1,9,3,1954,6.82,30605.02639,28651.02639,30595,28641
19,1,10,4,1847,6.37,30842.29042,28995.29042,30853,29006
19,1,11,5,1884,6.54,30691.33945,28807.33945,30682,28798
19,1,12,6,2497,9.64,28399.48963,25902.48963,28402,25905
19,1,13,7,2398,9.74,27018.1232,24620.1232,27027,24629
19,1,14,1,1745,6.16,30072.92208,28327.92208,30093,28348
19,1,15,2,1844,6.38,30746.82132,28902.82132,30731,28887
19,1,16,3,1849,6.45,30515.66667,28666.66667,30498,28649
19,1,17,4,1933,6.81,30317.72834,28384.72834,30328,28395
19,1,18,5,1935,6.97,29696.83644,27761.83644,29691,27756
19,1,19,6,1954,7.38,28430.96477,26476.96477,28431,26477
19,1,20,7,2599,10.59,27141.02077,24542.02077,27138,24539
19,1,21,1,1915,6.9,29668.62319,27753.62319,29654,27739
19,1,22,2,1921,6.83,30046.91508,28125.91508,30061,28140
19,1,23,3,1938,6.96,29782.82759,27844.82759,29776,27838
19,1,24,4,1872,6.72,29729.14286,27857.14286,29735,27863
19,1,25,5,1906,6.98,29212.59026,27306.59026,29202,27296
19,1,26,6,2535,10.03,27809.17747,25274.17747,27817,25282
19,1,27,7,2092,8.57,26502.73512,24410.73512,26506,24414
19,1,28,1,1806,6.55,29378.51908,27572.51908,29363,27557
19,1,29,2,1832,6.58,29673.94529,27841.94529,29690,27858
19,1,30,3,1810,6.52,29570.7362,27760.7362,29570,27760
19,1,31,4,1890,6.95,29084.2446,27194.2446,29071,27181
19,2,1,5,2148,8.69,26866.06674,24718.06674,26857,24709
19,2,2,6,2241,9.58,25633.48434,23392.48434,25623,23382
19,2,3,7,2038,8.89,24962.63442,22924.63442,24953,22915
19,2,4,1,2563,12.68,22775.93375,20212.93375,22777,20214
19,2,5,2,2333,11.67,22324.43102,19991.43102,22325,19992
19,2,6,3,2322,11.65,22253.33047,19931.33047,22258,19936
19,2,7,4,2107,10.06,23051.334,20944.334,23045,20938
19,2,8,5,3115,14.43,24701.97159,21586.97159,24696,21581
19,2,9,6,3136,13.98,25568.04578,22432.04578,25572,22436
19,2,10,7,3023,13.01,26258.97233,23235.97233,26259,23236
19,2,11,1,2275,8.53,28945.57444,26670.57444,28942,26667
19,2,12,2,1860,6.7,29621.19403,27761.19403,29628,27768
19,2,13,3,1915,6.91,29628.45876,27713.45876,29614,27699
