,ds,y
0,2019/1/2,1899
1,2019/1/3,1891
2,2019/1/4,1811
3,2019/1/5,1903
4,2019/1/6,2333
5,2019/1/7,1800
6,2019/1/8,1843
7,2019/1/9,1954
8,2019/1/10,1847
9,2019/1/11,1884
10,2019/1/12,2497
11,2019/1/13,2398
12,2019/1/14,1745
13,2019/1/15,1844
14,2019/1/16,1849
15,2019/1/17,1933
16,2019/1/18,1935
17,2019/1/19,1954
18,2019/1/20,2599
19,2019/1/21,1915
20,2019/1/22,1921
21,2019/1/23,1938
22,2019/1/24,1872
23,2019/1/25,1906
24,2019/1/26,2535
25,2019/1/27,2092
26,2019/1/28,1806
27,2019/1/29,1832
28,2019/1/30,1810
29,2019/1/31,1890
30,2019/2/1,2148
31,2019/2/2,2241
32,2019/2/3,2038
33,2019/2/4,2563
34,2019/2/5,2333
35,2019/2/6,2322
36,2019/2/7,2107
37,2019/2/8,3115
38,2019/2/9,3136
39,2019/2/10,3023
40,2019/2/11,2275
41,2019/2/12,1860
42,2019/2/13,1915
43,2019/2/14,1943
44,2019/2/15,1959
45,2019/2/16,2426
46,2019/2/17,2673
47,2019/2/18,1762
48,2019/2/19,1891
49,2019/2/20,1838
50,2019/2/21,1813
51,2019/2/22,1870
52,2019/2/23,1729
53,2019/2/24,1770
54,2019/2/25,1754
55,2019/2/26,1818
56,2019/2/27,1903
57,2019/2/28,2430
58,2019/3/1,2371
59,2019/3/2,1833
60,2019/3/3,2224
61,2019/3/4,1895
62,2019/3/5,1954
63,2019/3/6,1922
64,2019/3/7,1868
65,2019/3/8,1816
66,2019/3/9,2191
67,2019/3/10,1823
68,2019/3/11,1794
69,2019/3/12,1879
70,2019/3/13,1923
71,2019/3/14,1780
72,2019/3/15,1928
73,2019/3/16,2518
74,2019/3/17,2290
75,2019/3/18,1755
76,2019/3/19,1805
77,2019/3/20,1844
78,2019/3/21,1967
79,2019/3/22,2341
80,2019/3/23,2084
81,2019/3/24,1859
82,2019/3/25,1853
83,2019/3/26,1887
84,2019/3/27,1933
85,2019/3/28,1892
86,2019/3/29,2055
87,2019/3/30,2155
88,2019/3/31,2297
89,2019/4/1,1930
90,2019/4/2,1915
91,2019/4/3,1905
92,2019/4/4,2340
93,2019/4/5,1872
94,2019/4/6,1683
95,2019/4/7,1778
96,2019/4/8,1969
97,2019/4/9,1964
98,2019/4/10,2154
99,2019/4/11,2079
100,2019/4/12,2018
101,2019/4/13,1760
102,2019/4/14,2528
103,2019/4/15,1986
104,2019/4/16,1877
105,2019/4/17,2050
106,2019/4/18,2003
107,2019/4/19,1920
108,2019/4/20,1877
109,2019/4/21,2298
110,2019/4/22,1993
111,2019/4/23,2026
112,2019/4/24,2003
113,2019/4/25,2290
114,2019/4/26,2252
115,2019/4/27,1993
116,2019/4/28,1740
117,2019/4/29,2211
118,2019/4/30,2210
119,2019/5/1,3093
120,2019/5/2,2683
121,2019/5/3,3316
122,2019/5/4,3119
123,2019/5/5,2255
124,2019/5/6,2404
125,2019/5/7,2609
126,2019/5/8,2140
127,2019/5/9,2212
128,2019/5/10,2608
129,2019/5/11,2837
130,2019/5/12,2709
131,2019/5/13,2311
132,2019/5/14,2131
133,2019/5/15,2253
134,2019/5/16,2432
135,2019/5/17,2546
136,2019/5/18,2591
137,2019/5/19,2127
138,2019/5/20,3347
139,2019/5/21,3887
140,2019/5/22,4554
141,2019/5/23,4712
142,2019/5/24,3575
143,2019/5/25,3984
144,2019/5/26,3789
145,2019/5/27,2706
146,2019/5/28,3169
