日期,備轉容量(萬瓩),備轉容量率(%)
2020/1/1,279,11.01
2020/1/2,308,10.91
2020/1/3,338.3,11.96
2020/1/4,363.6,14.21
2020/1/5,269.5,10.88
2020/1/6,301,10.51
2020/1/7,310.4,10.65
2020/1/8,323.5,11.33
2020/1/9,313.1,10.9
2020/1/10,329.8,11.58
2020/1/11,385.1,15.2
2020/1/12,309.1,12.44
2020/1/13,315.7,11.02
2020/1/14,341.2,11.85
2020/1/15,338.6,11.91
2020/1/16,300.5,10.47
2020/1/17,339.9,12.06
2020/1/18,315.9,12.12
2020/1/19,333.5,13.17
2020/1/20,318.3,11.38
2020/1/21,325.9,11.84
2020/1/22,388.6,15.09
2020/1/23,334.4,14.21
2020/1/24,348.3,16.17
2020/1/25,355.1,16.89
2020/1/26,352.8,16.66
2020/1/27,370.4,17.06
2020/1/28,365.3,16.01
2020/1/29,330.3,13.77
2020/1/30,299.1,11.36
2020/1/31,336.1,12.58
2020/2/1,389,15.43
2020/2/2,324.7,13.08
2020/2/3,408.8,14.62
2020/2/4,330.2,11.61
2020/2/5,364.3,12.83
2020/2/6,334.7,11.75
2020/2/7,376.7,13.32
2020/2/8,366,14.28
2020/2/9,308.4,12.26
2020/2/10,314.6,11.12
2020/2/11,321.9,11.23
2020/2/12,334.8,11.73
2020/2/13,324.6,11.16
2020/2/14,312.3,10.7
2020/2/15,299.6,10.79
2020/2/16,398.5,15.9
2020/2/17,374.4,13.23
2020/2/18,424.9,14.95
2020/2/19,356.4,12.56
2020/2/20,313.1,10.94
2020/2/21,313.8,11
2020/2/22,367.4,14.11
2020/2/23,374,14.92
2020/2/24,301,10.44
2020/2/25,312.4,10.7
2020/2/26,316.7,10.75
2020/2/27,425.3,14.99
2020/2/28,328.6,12.47
2020/2/29,280.6,10.93
2020/3/1,332,13.29
2020/3/2,329.5,11.54
2020/3/3,310.6,10.64
2020/3/4,375.8,13.02
2020/3/5,351.8,12.3
2020/3/6,317.9,11.13
2020/3/7,371.2,14.18
2020/3/8,337.9,13.22
2020/3/9,320.8,10.82
2020/3/10,394.1,13.79
2020/3/11,325.5,11.41
2020/3/12,300.2,10.23
2020/3/13,309.8,10.62
2020/3/14,382.6,14.83
2020/3/15,349.3,14.06
2020/3/16,482,17.22
2020/3/17,414.3,14.41
2020/3/18,415.3,14.26
2020/3/19,308.5,10.5
2020/3/20,370,12.75
2020/3/21,302,11.34
2020/3/22,308.6,11.83
2020/3/23,377.1,12.84
2020/3/24,412.5,14
2020/3/25,357.7,11.91
2020/3/26,318.7,10.33
2020/3/27,326.4,10.44
2020/3/28,406.6,15.7
2020/3/29,348.9,13.87
2020/3/30,350.8,12.22
2020/3/31,332.2,11.39
2020/4/1,409.5,14.48
2020/4/2,410.8,16.15
2020/4/3,374.9,14.92
2020/4/4,441.4,18.21
2020/4/5,424.9,17.45
2020/4/6,405.4,14.35
2020/4/7,403.7,14.36
2020/4/8,336.4,11.91
2020/4/9,367.8,13
2020/4/10,465,16.33
2020/4/11,317.9,12.34
2020/4/12,280.9,11.42
2020/4/13,332.8,12.05
2020/4/14,356.3,12.78
2020/4/15,349.7,12.41
2020/4/16,314.4,11.02
2020/4/17,360.9,12.45
2020/4/18,348.9,13.09
2020/4/19,302.8,11.42
2020/4/20,409.1,13.64
2020/4/21,437.6,14.59
2020/4/22,403.1,14.1
2020/4/23,394.8,14.07
2020/4/24,394.8,14.26
2020/4/25,316.6,12.34
2020/4/26,312,12.43
2020/4/27,381,13.27
2020/4/28,468.7,16.19
2020/4/29,334.6,11.33
2020/4/30,486.4,16.43
2020/5/1,351.2,13.11
2020/5/2,341.4,12.9
2020/5/3,296.7,11.06
2020/5/4,347.6,10.75
2020/5/5,340,10.2
2020/5/6,342.6,10.39
2020/5/7,373.6,11.49
2020/5/8,341.4,10.1
2020/5/9,382.3,12.87
2020/5/10,301.5,10.25
2020/5/11,335,10.09
2020/5/12,376.6,11.78
2020/5/13,419.9,13.01
2020/5/14,338.2,10.11
2020/5/15,362.2,10.72
2020/5/16,394.7,13.14
2020/5/17,424.1,14.78
2020/5/18,408.5,12.45
2020/5/19,462.6,14.76
2020/5/20,495.1,15.71
2020/5/21,398.3,12.62
2020/5/22,367.5,11.9
2020/5/23,406.1,15.1
2020/5/24,428.9,15.94
2020/5/25,394.2,12.15
2020/5/26,356.3,10.83
2020/5/27,493.2,15.69
2020/5/28,526.1,16.69
2020/5/29,409.8,12.59
2020/5/30,418.6,14.68
2020/5/31,343,11.92
2020/6/1,363.3,10.79
2020/6/2,407.1,11.84
2020/6/3,416.3,12.07
2020/6/4,375.4,10.75
2020/6/5,368.3,10.56
2020/6/6,424,13.79
2020/6/7,453.5,16.13
2020/6/8,458,14.15
2020/6/9,451.5,13.95
2020/6/10,436.7,12.93
2020/6/11,398.6,11.65
2020/6/12,358.6,10.24
2020/6/13,376.4,11.93
2020/6/14,457.2,15.33
2020/6/15,503.3,14.34
2020/6/16,402.2,11.27
2020/6/17,397.5,10.99
2020/6/18,419.1,11.65
2020/6/19,386.2,10.63
2020/6/20,367.5,10.41
2020/6/21,348.4,11.02
2020/6/22,384.9,10.51
2020/6/23,376.8,10.23
2020/6/24,408.6,10.99
2020/6/25,337.9,10.61
2020/6/26,390.7,12.87
2020/6/27,362,11.88
2020/6/28,341.2,10.97
2020/6/29,401.3,11.04
2020/6/30,464.7,12.67
2020/7/1,402.9,11.09
2020/7/2,445.8,12.44
2020/7/3,413.1,11.54
2020/7/4,428.7,13.43
2020/7/5,347.5,11.13
2020/7/6,501.6,13.98
2020/7/7,461,12.69
2020/7/8,431.5,11.63
2020/7/9,436.7,11.9
2020/7/10,437.9,11.89
2020/7/11,367.1,11.15
2020/7/12,351.8,10.92
2020/7/13,397.4,10.59
2020/7/14,392.4,10.38
2020/7/15,421,11.45
2020/7/16,508.5,14.16
2020/7/17,425.6,11.54
2020/7/18,432.1,13.02
2020/7/19,412.8,12.97
2020/7/20,426.9,11.38
2020/7/21,513.3,13.94
2020/7/22,426.6,11.42
2020/7/23,384.8,10.12
2020/7/24,412.9,10.99
2020/7/25,469.7,14.3
2020/7/26,471.8,15.44
2020/7/27,456.5,12.42
2020/7/28,453.1,12.47
2020/7/29,484.5,13.33
2020/7/30,546,15.34
2020/7/31,413.8,11.4
2020/8/1,412.1,12.61
2020/8/2,381,12.39
2020/8/3,489.8,14.53
2020/8/4,435.3,12.79
2020/8/5,438.7,12.4
2020/8/6,385.3,10.53
2020/8/7,386,10.52
2020/8/8,387.1,11.96
2020/8/9,318.7,10.23
2020/8/10,372.6,10.23
2020/8/11,438.4,12.47
2020/8/12,427,11.69
2020/8/13,465.1,12.81
2020/8/14,502.2,13.97
2020/8/15,494.1,15.83
2020/8/16,462.2,15.55
2020/8/17,458.5,12.9
2020/8/18,423.6,11.68
2020/8/19,386.9,10.46
2020/8/20,438.4,11.91
2020/8/21,386.2,10.49
2020/8/22,339.8,10.97
2020/8/23,329.7,10.9
2020/8/24,369.4,10.13
2020/8/25,381.2,10.28
2020/8/26,379.6,10.6
2020/8/27,454.5,12.95
2020/8/28,427.2,12.16
2020/8/29,417.4,13.4
2020/8/30,408.6,13.32
2020/8/31,471.9,13.41
2020/9/1,447.8,12.64
2020/9/2,386.9,10.6
2020/9/3,481.1,13.56
2020/9/4,487,13.54
2020/9/5,392.3,12.75
2020/9/6,387.3,13.87
2020/9/7,436.2,12.85
2020/9/8,415.5,11.83
2020/9/9,417.7,11.81
2020/9/10,425.5,12.01
2020/9/11,408.4,11.47
2020/9/12,338.3,10.8
2020/9/13,302.4,10.07
2020/9/14,371.8,10.43
2020/9/15,372.5,10.26
2020/9/16,373.3,10.22
2020/9/17,372.4,10.11
2020/9/18,372.9,10.11
2020/9/19,331.7,10.21
2020/9/20,388.5,13.16
2020/9/21,456.2,13.26
2020/9/22,512.5,14.97
2020/9/23,477.2,13.76
