date,year,month,day,Day of the week,work,備轉容量(MW),備轉容量率(%)
2019/1/2,2019,1,2,3,TRUE,1899,6.75
2019/1/3,2019,1,3,4,TRUE,1891,6.65
2019/1/4,2019,1,4,5,TRUE,1811,6.36
2019/1/5,2019,1,5,6,FALSE,1903,7.3
2019/1/6,2019,1,6,7,FALSE,2333,9.48
2019/1/7,2019,1,7,1,TRUE,1800,6.31
2019/1/8,2019,1,8,2,TRUE,1843,6.42
2019/1/9,2019,1,9,3,TRUE,1954,6.82
2019/1/10,2019,1,10,4,TRUE,1847,6.37
2019/1/11,2019,1,11,5,TRUE,1884,6.54
2019/1/12,2019,1,12,6,FALSE,2497,9.64
2019/1/13,2019,1,13,7,FALSE,2398,9.74
2019/1/14,2019,1,14,1,TRUE,1745,6.16
2019/1/15,2019,1,15,2,TRUE,1844,6.38
2019/1/16,2019,1,16,3,TRUE,1849,6.45
2019/1/17,2019,1,17,4,TRUE,1933,6.81
2019/1/18,2019,1,18,5,TRUE,1935,6.97
2019/1/19,2019,1,19,6,TRUE,1954,7.38
2019/1/20,2019,1,20,7,FALSE,2599,10.59
2019/1/21,2019,1,21,1,TRUE,1915,6.9
2019/1/22,2019,1,22,2,TRUE,1921,6.83
2019/1/23,2019,1,23,3,TRUE,1938,6.96
2019/1/24,2019,1,24,4,TRUE,1872,6.72
2019/1/25,2019,1,25,5,TRUE,1906,6.98
2019/1/26,2019,1,26,6,FALSE,2535,10.03
2019/1/27,2019,1,27,7,FALSE,2092,8.57
2019/1/28,2019,1,28,1,TRUE,1806,6.55
2019/1/29,2019,1,29,2,TRUE,1832,6.58
2019/1/30,2019,1,30,3,TRUE,1810,6.52
2019/1/31,2019,1,31,4,TRUE,1890,6.95
2019/2/1,2019,2,1,5,TRUE,2148,8.69
2019/2/2,2019,2,2,6,FALSE,2241,9.58
2019/2/3,2019,2,3,7,FALSE,2038,8.89
2019/2/4,2019,2,4,1,FALSE,2563,12.68
2019/2/5,2019,2,5,2,FALSE,2333,11.67
2019/2/6,2019,2,6,3,FALSE,2322,11.65
2019/2/7,2019,2,7,4,FALSE,2107,10.06
