,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-01,2288.9589613765856,1032.7090217969358,2353.935960741214,2288.9589613765856,2288.9589613765856,-627.3978529909034,-627.3978529909034,-627.3978529909034,4.596392492967415,4.596392492967415,4.596392492967415,-631.9942454838709,-631.9942454838709,-631.9942454838709,0.0,0.0,0.0,1661.5611083856822
1,2019-01-02,2295.410799962804,1029.0496959987415,2296.454452379242,2295.410799962804,2295.410799962804,-611.4387868951852,-611.4387868951852,-611.4387868951852,8.788991564371445,8.788991564371445,8.788991564371445,-620.2277784595567,-620.2277784595567,-620.2277784595567,0.0,0.0,0.0,1683.9720130676187
2,2019-01-03,2301.862638549023,1036.3239779075216,2373.47770737033,2301.862638549023,2301.862638549023,-592.5607877740207,-592.5607877740207,-592.5607877740207,15.491709220931565,15.491709220931565,15.491709220931565,-608.0524969949522,-608.0524969949522,-608.0524969949522,0.0,0.0,0.0,1709.301850775002
3,2019-01-04,2308.3144771352418,1052.7517278344496,2452.8344268794667,2308.3144771352418,2308.3144771352418,-529.4303137851284,-529.4303137851284,-529.4303137851284,66.25045783954612,66.25045783954612,66.25045783954612,-595.6807716246745,-595.6807716246745,-595.6807716246745,0.0,0.0,0.0,1778.8841633501133
4,2019-01-05,2314.7663157214606,1025.1266596657517,2436.9700671459664,2314.7663157214606,2314.7663157214606,-576.0076818432843,-576.0076818432843,-576.0076818432843,7.315728188879417,7.315728188879417,7.315728188879417,-583.3234100321638,-583.3234100321638,-583.3234100321638,0.0,0.0,0.0,1738.7586338781762
5,2019-01-06,2321.2181543076795,907.6452357170634,2292.1574508557082,2321.2181543076795,2321.2181543076795,-715.5301304178713,-715.5301304178713,-715.5301304178713,-144.3470685113397,-144.3470685113397,-144.3470685113397,-571.1830619065317,-571.1830619065317,-571.1830619065317,0.0,0.0,0.0,1605.6880238898082
6,2019-01-07,2327.669992893898,1188.1090248393336,2516.52137463845,2327.669992893898,2327.669992893898,-517.5442401393814,-517.5442401393814,-517.5442401393814,41.90378920439223,41.90378920439223,41.90378920439223,-559.4480293437737,-559.4480293437737,-559.4480293437737,0.0,0.0,0.0,1810.1257527545165
7,2019-01-08,2334.1218314801167,1153.5268432287519,2438.1304310109113,2334.1218314801167,2334.1218314801167,-543.6902971523461,-543.6902971523461,-543.6902971523461,4.596392493149973,4.596392493149973,4.596392493149973,-548.2866896454962,-548.2866896454962,-548.2866896454962,0.0,0.0,0.0,1790.4315343277706
8,2019-01-09,2340.573670066335,1137.9251401256172,2443.1898477774303,2340.5736700663347,2340.5736700663347,-529.0537230299583,-529.0537230299583,-529.0537230299583,8.788991564282014,8.788991564282014,8.788991564282014,-537.8427145942403,-537.8427145942403,-537.8427145942403,0.0,0.0,0.0,1811.5199470363768
9,2019-01-10,2347.025508652554,1231.5996946747841,2473.19770649776,2347.025508652554,2347.025508652554,-512.7395323346526,-512.7395323346526,-512.7395323346526,15.49170922088501,15.49170922088501,15.49170922088501,-528.2312415555376,-528.2312415555376,-528.2312415555376,0.0,0.0,0.0,1834.2859763179013
