,ds,y
0,2019/1/1,2557.3
1,2019/1/2,1899.0
2,2019/1/3,1891.0
3,2019/1/4,1811.0
4,2019/1/5,1903.0
5,2019/1/6,2333.0
6,2019/1/7,1800.0
7,2019/1/8,1843.0
8,2019/1/9,1954.0
9,2019/1/10,1847.0
10,2019/1/11,1884.0
11,2019/1/12,2497.0
12,2019/1/13,2398.0
13,2019/1/14,1745.0
14,2019/1/15,1844.0
15,2019/1/16,1849.0
16,2019/1/17,1933.0
17,2019/1/18,1935.0
18,2019/1/19,1954.0
19,2019/1/20,2599.0
20,2019/1/21,1915.0
21,2019/1/22,1921.0
22,2019/1/23,1938.0
23,2019/1/24,1872.0
24,2019/1/25,1906.0
25,2019/1/26,2535.0
26,2019/1/27,2092.0
27,2019/1/28,1806.0
28,2019/1/29,1832.0
29,2019/1/30,1810.0
30,2019/1/31,1890.0
31,2019/2/1,2148.0
32,2019/2/2,2241.0
33,2019/2/3,2038.0
34,2019/2/4,2563.0
35,2019/2/5,2333.0
36,2019/2/6,2322.0
37,2019/2/7,2107.0
38,2019/2/8,3115.0
39,2019/2/9,3136.0
40,2019/2/10,3023.0
41,2019/2/11,2275.0
42,2019/2/12,1860.0
43,2019/2/13,1915.0
44,2019/2/14,1943.0
45,2019/2/15,1959.0
46,2019/2/16,2426.0
47,2019/2/17,2673.0
48,2019/2/18,1762.0
49,2019/2/19,1891.0
50,2019/2/20,1838.0
51,2019/2/21,1813.0
52,2019/2/22,1870.0
53,2019/2/23,1729.0
54,2019/2/24,1770.0
55,2019/2/25,1754.0
56,2019/2/26,1818.0
57,2019/2/27,1903.0
58,2019/2/28,2430.0
59,2019/3/1,2371.0
60,2019/3/2,1833.0
61,2019/3/3,2224.0
62,2019/3/4,1895.0
63,2019/3/5,1954.0
64,2019/3/6,1922.0
65,2019/3/7,1868.0
66,2019/3/8,1816.0
67,2019/3/9,2191.0
68,2019/3/10,1823.0
69,2019/3/11,1794.0
70,2019/3/12,1879.0
71,2019/3/13,1923.0
72,2019/3/14,1780.0
73,2019/3/15,1928.0
74,2019/3/16,2518.0
